island,logarea,nbsp,island.abundance,MFPDnn,MFPDnn_nullmean,MFPDnn_nullsd,pd,SES.MFPDnn
island01,-1.096910013,8,93,0.3429143,0.3284312,0.053534271,1149.355007,0.270538848
island02,-0.920818754,14,237,0.2553507,0.2954431,0.036612584,1601.936008,-1.095044261
island03,-0.853871964,20,1070,0.2876774,0.2713911,0.028478701,2199.600176,0.571876505
island04,-0.721246399,26,1797,0.2314557,0.2542946,0.022479907,2332.616423,-1.015969506
island05,-0.721246399,18,616,0.2940557,0.2788267,0.031061689,1916.524648,0.490282418
island06,-0.602059991,19,2654,0.2574662,0.2754692,0.02874982,1932.779931,-0.626195225
island07,-0.602059991,25,894,0.2590566,0.2569874,0.02305596,2516.984607,0.089746859
island08,-0.537602002,27,2595,0.239852,0.2519628,0.021347174,2501.011729,-0.56732568
island09,-0.443697499,22,1561,0.2264279,0.2643576,0.026423697,2041.292321,-1.435442588
island10,-0.408935393,24,1629,0.2656269,0.2591997,0.023843024,2492.558734,0.269563123
island11,-0.37675071,28,1655,0.2268525,0.2494493,0.020536888,2457.638493,-1.100303025
island12,-0.337242168,29,2305,0.2254473,0.2471886,0.019952906,2452.629212,-1.089630754
island13,-0.27572413,28,2985,0.2291636,0.2501718,0.021092065,2504.436354,-0.99602386
island14,-0.207608311,36,4307,0.2084879,0.2338943,0.015648837,2838.157554,-1.62353279
island15,-0.161150909,27,3716,0.2409198,0.2521889,0.021601242,2402.716378,-0.521687596
island16,-0.102372909,38,8497,0.2122682,0.2307904,0.014626546,2999.772583,-1.266341349
island17,-0.075720714,34,6221,0.2183251,0.237375,0.016353384,2823.758206,-1.164890398
island18,-0.070581074,33,7451,0.2297065,0.2394967,0.017097479,2784.749517,-0.572610734
island19,-0.065501549,29,2279,0.2653227,0.2467818,0.019805551,2969.591789,0.936146639
island20,-0.004364805,43,9936,0.218914,0.223619,0.012274892,3521.611278,-0.383302761
island21,0.117271296,40,7419,0.2058685,0.2278287,0.013564965,3113.981755,-1.618891018
island22,0.120573931,39,9631,0.2057491,0.2292903,0.014553301,2998.782097,-1.617584904
island23,0.123851641,39,8100,0.2180182,0.2292828,0.014214758,3189.67256,-0.792458092
island24,0.408239965,46,10401,0.1957256,0.2197209,0.011179197,3371.653419,-2.146424291
island25,0.568201724,43,15781,0.2045256,0.2230027,0.012466232,3294.649747,-1.482171999
island26,0.990782692,45,22018,0.1985624,0.2204064,0.012285764,3427.321978,-1.777992805
island27,1.43917474,43,14942,0.1878534,0.2230744,0.012444153,3005.472114,-2.830325214
island28,1.681060244,47,13566,0.194007,0.2175599,0.011204429,3435.169048,-2.10210623
island29,3.062160646,53,22472,0.1900472,0.2121565,0.008696731,3750.628188,-2.542254095
